Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Cinnamon,Sri Lanka,Galle,2024,11,158.66,29.26,73.23,47.36,25.66,22.2,0.5
Rubber,Sri Lanka,Galle,2021,10,183.2,27.23,84.54,60.42,29.9,18.67,1.69
Sugarcane,Sri Lanka,Polonnaruwa,2023,12,101.31,30.62,69.11,47.86,23.82,17.6,72.16
Sugarcane,Sri Lanka,Polonnaruwa,2020,11,77.7,32.63,68.25,62.9,18.0,16.41,74.52
Cinnamon,Sri Lanka,Matara,2016,2,123.5,28.88,64.32,51.11,18.0,17.67,0.38
Cinnamon,Sri Lanka,Matara,2024,12,156.47,29.67,85.35,66.38,31.34,17.6,0.56
Rubber,Sri Lanka,Kegalle,2020,5,182.7,27.35,71.38,65.45,26.43,22.82,1.46
Sugarcane,Sri Lanka,Kurunegala,2025,5,120.34,29.58,86.29,70.6,27.44,28.0,76.54
Tea,Sri Lanka,Nuwara Eliya,2018,5,271.03,23.06,82.35,72.91,26.48,15.57,2.31
Tea,Sri Lanka,Ratnapura,2016,10,234.13,20.07,73.14,60.78,29.93,22.44,2.06
Sugarcane,Sri Lanka,Polonnaruwa,2017,9,150.77,33.36,80.42,65.68,18.69,22.65,75.51
Tea,Sri Lanka,Nuwara Eliya,2016,12,208.84,22.88,76.2,53.19,23.74,15.0,2.4
Rice,Sri Lanka,Anuradhapura,2015,8,220.0,27.61,85.33,70.33,30.57,25.77,4.05
Tea,Sri Lanka,Matara,2017,10,265.74,20.96,73.63,54.68,19.85,17.24,2.32
Rice,Sri Lanka,Batticaloa,2021,7,242.1,29.52,84.6,68.42,21.55,25.2,4.8
Cinnamon,Sri Lanka,Galle,2015,8,159.39,28.62,76.92,56.9,22.82,15.0,0.82
Rice,Sri Lanka,Kurunegala,2024,6,194.87,33.55,74.42,65.24,25.75,15.0,4.58
Cinnamon,Sri Lanka,Matara,2025,2,119.07,27.36,76.38,52.6,18.0,15.48,0.6
Rice,Sri Lanka,Anuradhapura,2025,12,135.54,24.16,73.96,63.43,20.27,20.38,4.22
Rubber,Sri Lanka,Galle,2018,9,151.36,26.12,77.53,70.81,28.14,16.99,1.68
Rice,Sri Lanka,Jaffna,2021,10,169.72,28.19,82.92,73.19,27.33,16.32,5.25
Sugarcane,Sri Lanka,Kurunegala,2016,2,76.1,24.79,84.63,74.98,32.0,17.82,74.55
Rubber,Sri Lanka,Galle,2015,4,170.25,27.28,83.04,70.32,27.64,18.93,1.57
Rubber,Sri Lanka,Matara,2025,5,151.6,29.73,74.95,61.33,23.35,18.36,1.35
Sugarcane,Sri Lanka,Kurunegala,2022,1,69.66,26.76,72.19,52.35,25.19,15.0,71.35
Sugarcane,Sri Lanka,Anuradhapura,2017,11,106.28,30.19,79.51,60.83,22.62,17.0,80.3
Cinnamon,Sri Lanka,Matara,2018,5,195.25,28.38,77.15,58.39,22.68,19.4,0.74
Cinnamon,Sri Lanka,Kalutara,2015,4,140.53,28.16,77.52,64.8,21.3,19.62,0.85
Rubber,Sri Lanka,Kegalle,2019,7,254.47,37.37,75.73,52.18,23.99,17.11,1.74
Rubber,Sri Lanka,Kalutara,2015,6,236.65,29.18,80.88,66.81,24.28,21.38,1.63
Cinnamon,Sri Lanka,Kalutara,2017,6,248.06,27.36,73.03,59.57,26.68,16.7,0.67
Rice,Sri Lanka,Batticaloa,2024,1,120.07,23.61,78.11,56.32,25.88,19.34,4.06
Rubber,Sri Lanka,Kalutara,2018,7,216.8,35.64,71.5,53.56,20.95,15.0,1.54
Sugarcane,Sri Lanka,Anuradhapura,2017,11,97.31,29.88,78.63,66.45,18.73,18.38,77.83
Sugarcane,Sri Lanka,Anuradhapura,2019,6,122.41,34.17,72.72,60.02,21.62,18.41,71.21
Tea,Sri Lanka,Matara,2017,10,164.16,25.06,79.47,64.67,18.96,21.57,2.28
Sugarcane,Sri Lanka,Polonnaruwa,2019,6,122.08,28.77,67.21,58.56,18.0,15.0,72.55
Rice,Sri Lanka,Polonnaruwa,2018,3,93.87,28.94,73.15,66.78,21.5,18.35,4.53
Tea,Sri Lanka,Badulla,2023,11,255.52,19.94,74.44,60.71,22.27,15.87,1.74
Rice,Sri Lanka,Anuradhapura,2023,5,151.64,29.93,86.31,67.95,24.84,21.82,4.44
Tea,Sri Lanka,Kandy,2017,12,265.43,23.26,75.28,48.06,23.12,19.95,2.24
Rice,Sri Lanka,Trincomalee,2015,6,201.37,30.62,67.69,66.83,18.0,22.38,4.13
Cinnamon,Sri Lanka,Kalutara,2019,12,148.29,22.79,84.34,71.69,25.39,19.53,0.63
Sugarcane,Sri Lanka,Anuradhapura,2018,9,98.7,33.93,81.62,59.46,24.98,28.0,74.73
Rice,Sri Lanka,Kurunegala,2019,3,113.01,27.4,63.8,46.91,22.19,17.6,4.4
Rubber,Sri Lanka,Ratnapura,2021,5,203.62,30.34,77.7,64.55,23.31,18.91,1.76
Sugarcane,Sri Lanka,Anuradhapura,2020,2,68.45,27.8,79.55,73.51,21.11,18.82,68.75
Rubber,Sri Lanka,Galle,2019,10,186.79,24.77,89.04,78.22,29.81,28.0,1.8
Rubber,Sri Lanka,Kalutara,2024,10,142.26,27.34,79.77,62.12,23.48,19.52,1.57
Rice,Sri Lanka,Polonnaruwa,2025,10,189.69,26.23,82.28,61.06,23.38,19.9,4.65
Rubber,Sri Lanka,Galle,2022,11,211.64,31.11,72.89,59.36,24.24,15.0,1.66
Tea,Sri Lanka,Ratnapura,2024,7,210.94,22.03,85.77,74.69,21.72,27.46,2.35
Rice,Sri Lanka,Jaffna,2024,10,167.45,28.35,83.68,70.55,32.0,16.86,4.28
Rice,Sri Lanka,Anuradhapura,2022,11,136.39,28.62,69.07,55.33,25.27,20.32,4.47
Rubber,Sri Lanka,Kalutara,2017,3,120.89,29.89,84.52,70.97,20.44,22.42,1.7
Tea,Sri Lanka,Ratnapura,2020,10,206.47,19.98,71.07,60.49,18.76,20.62,2.02
Cinnamon,Sri Lanka,Matara,2025,12,144.3,23.79,73.43,65.22,29.55,15.0,0.55
Sugarcane,Sri Lanka,Anuradhapura,2022,8,104.67,32.6,72.04,53.2,22.36,20.09,80.95
Sugarcane,Sri Lanka,Polonnaruwa,2022,5,126.71,35.89,81.94,61.47,32.0,25.51,74.36
Cinnamon,Sri Lanka,Matara,2021,4,147.12,27.44,86.19,66.91,30.16,15.0,0.53
Tea,Sri Lanka,Badulla,2015,8,325.58,26.74,74.68,58.3,20.78,20.74,2.34
Tea,Sri Lanka,Nuwara Eliya,2019,12,228.24,21.01,69.64,58.81,19.94,16.7,2.59
Rice,Sri Lanka,Batticaloa,2022,3,81.35,27.04,75.02,53.36,18.0,17.95,3.93
Sugarcane,Sri Lanka,Kurunegala,2023,1,109.18,28.54,79.64,63.09,18.0,19.46,65.99
Rice,Sri Lanka,Jaffna,2016,9,199.35,27.05,81.28,70.45,22.65,19.24,4.72
Cinnamon,Sri Lanka,Kalutara,2025,6,299.45,32.46,83.31,73.4,23.24,22.56,0.48
Sugarcane,Sri Lanka,Anuradhapura,2023,3,83.17,31.62,79.51,67.31,29.87,20.69,65.93
Rubber,Sri Lanka,Matara,2023,12,174.83,30.83,72.7,61.84,28.3,15.0,1.61
Sugarcane,Sri Lanka,Anuradhapura,2017,10,95.21,26.52,72.36,53.58,23.58,19.37,82.17
Rice,Sri Lanka,Polonnaruwa,2021,10,157.29,29.97,79.45,63.01,28.34,19.26,4.27
Cinnamon,Sri Lanka,Galle,2016,5,219.38,28.11,73.25,55.82,27.34,16.98,0.71
Rice,Sri Lanka,Anuradhapura,2019,7,216.78,30.31,81.48,72.83,23.33,18.98,4.73
Sugarcane,Sri Lanka,Anuradhapura,2024,12,58.73,28.48,83.34,70.47,27.08,25.97,69.89
Rice,Sri Lanka,Polonnaruwa,2019,4,159.97,24.92,74.04,61.25,28.86,21.46,4.79
Tea,Sri Lanka,Badulla,2016,9,217.3,20.22,79.69,61.55,20.65,15.0,2.0
Cinnamon,Sri Lanka,Galle,2024,2,124.12,25.58,76.76,69.2,18.0,15.0,0.77
Rice,Sri Lanka,Trincomalee,2015,4,165.1,31.92,75.57,61.71,26.01,17.14,4.22
Rice,Sri Lanka,Batticaloa,2022,4,152.45,29.89,83.86,70.65,18.8,20.46,5.15
Cinnamon,Sri Lanka,Kalutara,2015,5,188.64,27.6,85.6,74.48,22.81,21.81,0.44
Cinnamon,Sri Lanka,Matara,2019,12,112.49,25.91,82.57,71.08,32.0,22.1,0.61
Rice,Sri Lanka,Jaffna,2015,12,140.52,27.6,76.19,62.01,18.0,22.72,4.28
Cinnamon,Sri Lanka,Kalutara,2017,12,187.52,25.56,83.13,75.3,21.15,18.34,0.63
Tea,Sri Lanka,Nuwara Eliya,2025,5,208.86,23.55,76.33,66.6,18.0,15.22,2.01
Sugarcane,Sri Lanka,Anuradhapura,2015,5,97.97,36.35,87.1,71.03,24.12,21.61,69.38
Rubber,Sri Lanka,Galle,2025,11,170.03,30.94,67.49,48.71,21.05,18.29,1.54
Cinnamon,Sri Lanka,Matara,2017,4,123.91,30.52,73.67,63.41,18.0,24.31,0.62
Cinnamon,Sri Lanka,Kalutara,2023,8,167.38,25.65,80.01,64.75,19.99,17.87,0.68
Cinnamon,Sri Lanka,Galle,2015,12,165.22,27.32,89.14,69.17,19.44,23.87,0.63
Tea,Sri Lanka,Matara,2019,1,150.19,21.14,79.7,66.96,19.87,15.0,2.1
Rice,Sri Lanka,Polonnaruwa,2022,12,91.9,28.99,76.81,69.34,22.82,19.75,4.71
Rice,Sri Lanka,Kurunegala,2023,4,114.42,26.93,72.78,61.02,25.09,17.51,3.85
Cinnamon,Sri Lanka,Galle,2020,6,252.02,30.73,81.81,63.69,29.1,15.83,0.59
Rice,Sri Lanka,Kurunegala,2016,1,106.59,22.69,83.38,70.92,20.93,22.31,4.56
Sugarcane,Sri Lanka,Kurunegala,2016,6,127.79,33.19,84.4,74.37,27.8,15.0,73.25
Tea,Sri Lanka,Ratnapura,2018,1,163.39,20.07,67.59,62.56,18.0,16.44,2.17
Sugarcane,Sri Lanka,Polonnaruwa,2017,3,79.58,27.41,75.71,51.87,19.23,17.12,75.49
Sugarcane,Sri Lanka,Polonnaruwa,2024,7,125.51,36.28,78.55,70.22,22.26,15.14,72.76
Rubber,Sri Lanka,Galle,2024,4,209.06,33.66,77.44,64.21,18.56,17.34,1.61
Tea,Sri Lanka,Nuwara Eliya,2016,7,302.29,22.29,80.38,62.43,18.0,23.1,1.89
Rubber,Sri Lanka,Matara,2024,12,184.72,23.46,70.47,51.14,18.0,15.0,1.75
Sugarcane,Sri Lanka,Anuradhapura,2024,9,101.96,28.41,77.73,53.09,31.79,19.83,72.44
Sugarcane,Sri Lanka,Anuradhapura,2017,10,103.24,29.44,74.51,47.77,25.66,15.0,81.38
Tea,Sri Lanka,Kandy,2025,8,244.45,21.6,76.11,57.43,21.13,16.43,2.29
Sugarcane,Sri Lanka,Polonnaruwa,2017,3,72.54,32.02,69.29,45.64,21.43,16.47,60.0
Tea,Sri Lanka,Ratnapura,2021,1,250.49,20.4,82.15,60.86,21.58,20.6,2.73
Sugarcane,Sri Lanka,Polonnaruwa,2025,12,53.94,28.38,81.9,78.57,25.14,17.97,75.94
Tea,Sri Lanka,Ratnapura,2022,2,140.79,22.15,73.62,60.14,31.4,15.54,1.96
Sugarcane,Sri Lanka,Polonnaruwa,2022,9,103.05,31.17,79.49,58.35,18.19,15.58,73.55
Cinnamon,Sri Lanka,Galle,2017,3,120.32,27.61,78.54,58.39,22.65,15.3,0.56
Rice,Sri Lanka,Polonnaruwa,2025,2,93.65,29.0,75.16,55.04,18.0,17.34,4.85
Rice,Sri Lanka,Batticaloa,2025,5,144.01,28.44,72.01,52.46,18.0,15.0,4.57
Sugarcane,Sri Lanka,Polonnaruwa,2020,10,123.65,31.85,77.75,49.21,19.65,19.13,69.64
Tea,Sri Lanka,Ratnapura,2018,6,248.13,22.78,73.22,54.77,18.0,15.0,2.3
Rice,Sri Lanka,Jaffna,2022,6,207.67,32.47,73.61,58.66,27.72,25.52,4.86
Cinnamon,Sri Lanka,Kalutara,2017,12,169.71,22.18,81.02,58.19,24.61,15.24,0.66
Rubber,Sri Lanka,Ratnapura,2024,7,179.6,27.88,71.18,65.55,23.4,16.46,1.71
Sugarcane,Sri Lanka,Anuradhapura,2025,2,83.38,31.19,80.69,67.5,23.38,23.67,74.51
Sugarcane,Sri Lanka,Polonnaruwa,2018,5,105.96,26.6,71.45,67.05,22.13,19.34,75.04
Cinnamon,Sri Lanka,Galle,2021,4,196.29,29.4,76.44,65.7,18.93,25.5,0.63
Cinnamon,Sri Lanka,Kalutara,2024,2,134.2,28.28,73.67,60.72,29.59,21.36,0.61
Sugarcane,Sri Lanka,Anuradhapura,2022,10,117.26,26.63,80.58,58.44,18.0,21.76,76.02
Tea,Sri Lanka,Matara,2024,2,206.39,16.11,77.07,66.29,22.2,18.03,2.14
Rubber,Sri Lanka,Kegalle,2021,12,152.52,31.37,76.26,67.72,19.0,18.52,1.7
Rubber,Sri Lanka,Kegalle,2020,8,216.89,31.8,80.25,66.54,24.62,20.77,1.47
Tea,Sri Lanka,Ratnapura,2025,5,192.1,23.6,78.62,65.86,25.35,19.27,1.95
Cinnamon,Sri Lanka,Kalutara,2024,8,213.86,31.59,90.09,80.94,26.83,17.1,0.67
Rubber,Sri Lanka,Galle,2020,2,212.04,22.53,76.48,61.52,30.3,22.61,1.54
Rubber,Sri Lanka,Kalutara,2024,2,199.23,28.35,77.52,69.3,21.3,27.21,1.42
Tea,Sri Lanka,Ratnapura,2022,7,336.75,19.33,68.47,54.86,18.0,15.46,2.24
Sugarcane,Sri Lanka,Polonnaruwa,2022,8,141.88,32.3,78.28,61.81,23.73,17.45,76.83
Tea,Sri Lanka,Ratnapura,2019,6,312.53,24.44,84.43,63.07,20.51,22.41,2.23
Tea,Sri Lanka,Matara,2025,4,163.54,24.47,74.8,61.67,24.47,15.0,2.02
Sugarcane,Sri Lanka,Polonnaruwa,2019,7,98.54,34.89,77.57,72.2,29.29,17.86,73.27
Rubber,Sri Lanka,Matara,2018,8,159.72,27.56,83.35,72.63,24.18,27.63,1.52
Sugarcane,Sri Lanka,Kurunegala,2025,9,104.03,30.57,77.54,53.23,28.99,25.1,75.87
Tea,Sri Lanka,Kandy,2021,5,312.98,24.91,68.68,59.63,18.0,21.88,2.11
Rice,Sri Lanka,Batticaloa,2022,9,199.32,27.33,83.29,69.1,24.01,22.58,4.86
Cinnamon,Sri Lanka,Kalutara,2022,9,189.46,27.43,75.87,54.44,22.02,22.66,0.65
Rice,Sri Lanka,Batticaloa,2019,2,99.68,26.47,80.14,68.03,22.63,21.22,3.82
Rice,Sri Lanka,Polonnaruwa,2020,10,132.76,24.65,75.2,69.23,21.09,19.08,4.97
Cinnamon,Sri Lanka,Galle,2019,1,138.92,25.58,71.24,61.13,19.85,15.0,0.72
Tea,Sri Lanka,Kandy,2017,7,269.38,26.74,75.81,50.05,18.51,15.52,1.81
Rice,Sri Lanka,Anuradhapura,2023,7,232.22,26.34,79.94,66.79,23.41,15.0,4.99
Rubber,Sri Lanka,Ratnapura,2020,4,168.79,24.73,71.84,67.48,18.0,15.0,1.43
Sugarcane,Sri Lanka,Anuradhapura,2024,6,143.56,33.05,79.69,65.66,26.44,21.89,73.63
Sugarcane,Sri Lanka,Kurunegala,2022,9,108.39,28.65,74.5,64.43,18.0,15.96,79.29
Rubber,Sri Lanka,Kegalle,2018,11,197.37,30.08,81.68,58.75,32.0,18.66,1.65
Rubber,Sri Lanka,Kalutara,2017,1,200.67,29.06,74.27,60.81,18.0,17.67,1.78
Rubber,Sri Lanka,Galle,2022,6,229.47,27.18,77.42,56.89,22.28,16.57,1.73
Cinnamon,Sri Lanka,Kalutara,2019,4,195.98,29.55,77.51,56.28,18.32,18.66,0.51
Rice,Sri Lanka,Jaffna,2023,9,209.83,24.44,70.51,60.51,23.6,23.21,4.14
Cinnamon,Sri Lanka,Kalutara,2025,9,153.51,26.32,71.6,67.97,25.83,20.78,0.54
Tea,Sri Lanka,Badulla,2024,9,291.17,24.37,74.24,66.66,20.97,17.37,2.31
Rice,Sri Lanka,Kurunegala,2015,2,79.4,29.63,88.79,79.78,25.69,19.14,4.83
Rice,Sri Lanka,Polonnaruwa,2025,5,199.52,30.54,72.86,51.99,19.76,17.26,4.72
Cinnamon,Sri Lanka,Kalutara,2022,1,150.76,29.38,75.94,65.42,18.0,16.87,0.66
Rice,Sri Lanka,Kurunegala,2020,12,113.24,26.69,69.74,53.3,24.35,18.39,3.87
Tea,Sri Lanka,Kandy,2018,11,229.8,21.47,66.01,45.37,18.0,23.47,2.3
Rubber,Sri Lanka,Kegalle,2018,8,236.94,32.79,88.19,75.12,26.03,16.76,1.62
Rubber,Sri Lanka,Matara,2017,4,220.8,29.17,66.12,63.43,18.0,15.0,1.54
Cinnamon,Sri Lanka,Matara,2025,9,191.02,31.37,81.38,66.79,22.41,15.0,0.76
Cinnamon,Sri Lanka,Kalutara,2017,7,235.82,24.68,75.03,51.37,21.0,18.9,0.65
Sugarcane,Sri Lanka,Polonnaruwa,2021,4,85.21,33.11,80.32,61.64,27.37,20.12,72.63
Tea,Sri Lanka,Nuwara Eliya,2019,4,159.05,23.2,74.46,53.55,20.95,16.57,2.36
Tea,Sri Lanka,Nuwara Eliya,2021,4,115.6,25.39,80.05,60.28,19.2,28.0,2.13
Tea,Sri Lanka,Kandy,2022,10,151.04,24.81,74.69,72.94,24.76,20.87,2.41
Sugarcane,Sri Lanka,Kurunegala,2024,10,110.27,27.11,68.88,55.88,20.93,15.0,74.08
Rice,Sri Lanka,Trincomalee,2021,1,105.07,26.78,84.93,74.37,30.5,20.81,5.35
Rice,Sri Lanka,Batticaloa,2019,1,100.86,25.2,81.29,66.52,20.64,18.42,4.49
Cinnamon,Sri Lanka,Matara,2021,8,148.12,29.52,75.03,62.89,18.0,15.0,0.7
Rubber,Sri Lanka,Matara,2017,2,158.77,32.61,84.64,70.07,22.41,21.58,1.56
Rubber,Sri Lanka,Matara,2023,9,226.91,32.57,83.19,66.1,18.23,15.0,1.65
Rubber,Sri Lanka,Kegalle,2018,10,182.97,27.89,79.33,59.68,21.48,19.11,1.57
Tea,Sri Lanka,Badulla,2016,4,196.47,24.58,82.33,67.06,26.91,23.94,2.23
Rubber,Sri Lanka,Kalutara,2017,12,179.67,25.37,85.04,64.35,30.37,19.81,1.61
Rice,Sri Lanka,Anuradhapura,2022,10,148.92,24.43,81.12,66.58,26.49,20.29,3.98
Rice,Sri Lanka,Kurunegala,2025,1,128.98,26.5,68.14,52.29,18.0,17.58,4.1
Sugarcane,Sri Lanka,Polonnaruwa,2021,8,123.41,32.1,80.48,53.89,19.17,15.0,75.66
Sugarcane,Sri Lanka,Anuradhapura,2023,5,96.38,30.61,86.22,75.68,27.83,22.61,73.37
Tea,Sri Lanka,Kandy,2015,7,290.67,20.77,77.59,65.74,22.54,21.72,2.29
Cinnamon,Sri Lanka,Galle,2020,2,136.86,23.8,76.92,54.78,24.81,16.56,0.71
Rice,Sri Lanka,Polonnaruwa,2022,11,124.57,29.89,77.09,71.71,21.36,16.65,4.43
Tea,Sri Lanka,Badulla,2017,6,294.04,20.14,69.59,48.82,18.0,19.35,1.94
Tea,Sri Lanka,Nuwara Eliya,2025,2,194.44,19.39,79.51,67.61,24.15,21.05,2.13
Rubber,Sri Lanka,Kalutara,2020,8,188.51,31.26,75.39,61.63,20.87,19.92,1.53
Tea,Sri Lanka,Kandy,2025,12,189.57,23.1,75.86,67.75,27.61,22.05,2.26
Sugarcane,Sri Lanka,Anuradhapura,2025,11,88.25,34.75,88.62,69.53,24.02,24.27,62.45
Rubber,Sri Lanka,Kalutara,2022,12,183.57,28.6,84.3,78.99,19.42,26.24,1.69
Rice,Sri Lanka,Jaffna,2021,5,136.0,31.33,75.43,55.93,25.94,19.41,5.11
Cinnamon,Sri Lanka,Matara,2025,11,160.53,29.11,83.49,77.89,21.89,15.0,0.68
Rubber,Sri Lanka,Galle,2017,2,179.93,27.59,80.34,64.16,26.86,18.54,1.63
Rice,Sri Lanka,Polonnaruwa,2016,10,158.61,29.06,70.41,63.33,20.76,21.91,4.52
Rice,Sri Lanka,Kurunegala,2017,9,187.76,31.94,78.17,67.46,18.0,16.61,4.46
Rubber,Sri Lanka,Kalutara,2023,11,157.17,25.55,78.81,61.56,29.0,22.51,1.54
Cinnamon,Sri Lanka,Kalutara,2025,7,209.29,26.13,71.59,45.34,24.73,24.6,0.78
Cinnamon,Sri Lanka,Galle,2019,6,167.88,31.06,83.8,74.69,29.22,17.36,0.85
Cinnamon,Sri Lanka,Matara,2021,4,153.95,28.52,73.53,45.0,23.96,20.29,0.72
Sugarcane,Sri Lanka,Kurunegala,2018,10,96.5,28.71,77.01,63.37,26.12,19.1,74.31
Tea,Sri Lanka,Badulla,2025,2,164.55,19.16,75.56,57.34,23.13,16.69,1.8
Rubber,Sri Lanka,Kalutara,2019,6,223.4,29.58,81.62,68.46,31.45,22.06,1.73
Sugarcane,Sri Lanka,Polonnaruwa,2019,6,130.72,34.35,78.4,67.47,18.0,15.0,70.66
Cinnamon,Sri Lanka,Kalutara,2025,9,169.27,25.85,86.39,66.64,27.85,24.02,0.71
Rubber,Sri Lanka,Kegalle,2019,12,194.1,23.0,73.93,67.47,20.5,18.68,1.41
Rice,Sri Lanka,Anuradhapura,2016,12,79.21,28.19,77.53,63.45,24.19,22.89,3.81
Rubber,Sri Lanka,Galle,2018,1,211.67,25.14,73.81,71.14,18.0,23.07,1.6
Cinnamon,Sri Lanka,Kalutara,2024,3,118.69,28.35,77.21,60.8,20.3,19.18,0.81
Sugarcane,Sri Lanka,Kurunegala,2023,3,59.22,28.04,75.7,65.3,25.68,15.0,69.65
Rice,Sri Lanka,Polonnaruwa,2015,9,172.3,25.49,74.14,58.78,22.35,15.92,4.17
Cinnamon,Sri Lanka,Kalutara,2019,5,224.38,31.1,71.1,54.37,18.0,19.31,0.82
Tea,Sri Lanka,Kandy,2020,4,133.61,20.19,80.96,62.35,25.27,16.52,1.97
Cinnamon,Sri Lanka,Kalutara,2016,3,134.15,24.56,73.79,65.07,18.88,19.84,0.6
Rubber,Sri Lanka,Kalutara,2016,8,215.66,26.29,83.69,67.76,22.78,17.71,1.59
Sugarcane,Sri Lanka,Anuradhapura,2017,6,171.66,26.77,82.73,66.16,18.0,15.47,77.28
Cinnamon,Sri Lanka,Galle,2017,8,171.1,27.99,85.94,69.45,26.8,20.41,0.63
Cinnamon,Sri Lanka,Galle,2019,2,141.65,29.44,74.32,66.6,18.0,20.29,0.69
Sugarcane,Sri Lanka,Anuradhapura,2022,4,95.51,27.18,83.06,62.38,20.72,15.0,79.85
Rubber,Sri Lanka,Galle,2021,11,197.56,27.62,73.91,52.41,18.9,16.51,1.57
Rubber,Sri Lanka,Matara,2024,3,131.09,30.56,73.24,73.84,24.7,15.0,1.53
Sugarcane,Sri Lanka,Kurunegala,2024,9,99.68,34.44,78.97,70.08,27.97,15.44,73.54
Rubber,Sri Lanka,Kegalle,2025,4,160.4,31.28,81.78,70.68,22.22,24.26,1.39
Rice,Sri Lanka,Polonnaruwa,2016,1,120.53,22.92,76.15,58.87,24.18,18.69,4.73
Sugarcane,Sri Lanka,Kurunegala,2017,9,143.56,34.22,74.82,67.0,29.8,20.72,81.92
Cinnamon,Sri Lanka,Kalutara,2025,9,212.14,32.7,82.63,63.6,31.78,16.66,0.57
Tea,Sri Lanka,Ratnapura,2020,6,219.68,23.48,74.69,58.54,19.77,17.76,2.4
Rubber,Sri Lanka,Kegalle,2021,11,150.52,24.05,79.92,64.99,21.54,23.2,1.56
Cinnamon,Sri Lanka,Galle,2022,6,193.86,28.58,75.35,60.1,18.0,22.07,0.67
Cinnamon,Sri Lanka,Galle,2016,6,198.86,31.65,81.08,54.49,20.61,16.25,0.8
Tea,Sri Lanka,Nuwara Eliya,2020,3,138.0,21.22,75.57,58.33,26.39,22.81,2.09
Cinnamon,Sri Lanka,Kalutara,2015,1,170.49,26.24,79.54,57.43,24.26,23.94,0.59
Tea,Sri Lanka,Kandy,2025,4,135.11,22.66,76.18,61.38,19.96,15.0,2.34
Cinnamon,Sri Lanka,Kalutara,2019,8,191.17,30.6,71.08,60.73,23.95,19.88,0.66
Cinnamon,Sri Lanka,Galle,2021,10,177.58,25.65,76.54,62.15,23.28,21.32,0.71
Rubber,Sri Lanka,Galle,2015,1,159.33,30.55,78.91,61.79,18.0,15.68,1.56
Sugarcane,Sri Lanka,Anuradhapura,2020,12,66.48,32.53,77.43,61.02,18.0,22.48,68.75
Rubber,Sri Lanka,Matara,2025,1,160.31,29.17,73.5,58.1,20.07,19.43,1.55
Rice,Sri Lanka,Jaffna,2017,5,151.63,27.73,82.06,74.43,30.7,18.54,4.88
Rice,Sri Lanka,Polonnaruwa,2018,4,126.2,31.95,72.83,58.34,20.16,15.0,4.52
Rubber,Sri Lanka,Galle,2017,12,172.88,27.16,85.96,68.03,25.97,23.72,1.57
Rubber,Sri Lanka,Matara,2015,11,221.66,28.29,76.65,55.74,25.84,24.59,1.44
Rice,Sri Lanka,Batticaloa,2019,4,138.33,31.05,76.98,59.2,22.52,15.0,4.35
Rubber,Sri Lanka,Ratnapura,2021,11,206.05,34.33,81.07,64.44,18.0,24.03,1.71
Rice,Sri Lanka,Batticaloa,2019,7,255.98,31.46,78.99,59.35,22.1,17.04,3.86
Rice,Sri Lanka,Batticaloa,2025,4,171.17,30.46,74.62,59.01,18.0,19.46,4.51
Rice,Sri Lanka,Batticaloa,2022,5,212.13,31.81,82.32,65.75,18.0,17.94,4.22
Sugarcane,Sri Lanka,Polonnaruwa,2015,10,103.99,27.89,74.29,63.91,24.54,19.69,80.86
Tea,Sri Lanka,Matara,2019,6,252.08,21.1,74.25,58.18,18.0,21.8,2.17
Rice,Sri Lanka,Polonnaruwa,2015,3,98.63,31.85,76.33,59.12,24.11,15.0,4.93
Rubber,Sri Lanka,Kegalle,2024,9,178.08,32.86,78.95,54.01,18.0,17.95,1.64
Sugarcane,Sri Lanka,Kurunegala,2017,11,102.5,30.2,85.49,69.2,23.61,20.99,75.71
Cinnamon,Sri Lanka,Kalutara,2025,10,167.61,26.78,77.98,56.15,22.74,19.54,0.47
Rubber,Sri Lanka,Kegalle,2023,11,142.06,29.21,77.49,57.59,22.34,17.48,1.56
Cinnamon,Sri Lanka,Kalutara,2022,10,163.4,26.66,75.06,73.22,32.0,17.77,0.74
Rubber,Sri Lanka,Ratnapura,2016,9,153.34,26.18,84.25,71.99,26.09,28.0,1.72
Sugarcane,Sri Lanka,Kurunegala,2016,8,114.02,33.39,88.6,75.61,28.12,15.0,78.03
Cinnamon,Sri Lanka,Kalutara,2015,9,203.45,29.58,75.97,60.0,25.38,18.04,0.67
Sugarcane,Sri Lanka,Kurunegala,2020,11,108.96,31.66,82.05,69.03,25.51,21.27,71.47
Sugarcane,Sri Lanka,Anuradhapura,2018,4,82.21,32.36,77.71,68.43,22.55,22.11,79.77
Cinnamon,Sri Lanka,Matara,2025,4,154.25,32.09,77.16,62.67,28.74,20.54,0.62
Sugarcane,Sri Lanka,Kurunegala,2015,11,89.51,28.72,76.14,63.38,22.01,15.0,79.94
Tea,Sri Lanka,Ratnapura,2019,10,152.66,19.36,63.72,49.5,22.04,15.0,2.41
Rubber,Sri Lanka,Matara,2022,8,234.08,33.31,87.6,74.49,20.4,15.0,1.5
Sugarcane,Sri Lanka,Anuradhapura,2016,4,87.47,34.86,78.96,55.91,24.07,18.05,68.57
Rice,Sri Lanka,Polonnaruwa,2020,8,174.55,31.5,77.3,65.56,18.0,17.85,4.5
